threshold	A	u(A)
7039	1.506973	0.000368
6706	1.507451	0.000368
9472	1.506888	0.000368
9085	1.507229	0.000368
5260	1.507415	0.000368
7679	1.507218	0.000368
9612	1.506035	0.000368
6206	1.507103	0.000368
7086	1.506603	0.000368
7097	1.507570	0.000368
6963	1.507051	0.000368
7719	1.507205	0.000368
6151	1.507880	0.000368
9723	1.506742	0.000368
6995	1.507028	0.000368
5035	1.507505	0.000368
9293	1.506706	0.000368
5716	1.507038	0.000368
9415	1.506611	0.000368
8342	1.507127	0.000368
9727	1.507056	0.000368
8186	1.507132	0.000368
7556	1.506149	0.000368
8214	1.506889	0.000368
5530	1.507778	0.000368
6444	1.507034	0.000368
5343	1.507302	0.000368
8530	1.506855	0.000368
7038	1.507738	0.000368
6411	1.506448	0.000368
6535	1.507490	0.000368
6456	1.506824	0.000368
8064	1.506607	0.000368
6317	1.507266	0.000368
6985	1.507146	0.000368
9922	1.506317	0.000368
6314	1.507143	0.000368
7904	1.507210	0.000368
9528	1.507316	0.000368
9615	1.507073	0.000368
9069	1.507188	0.000368
8265	1.507205	0.000368
5653	1.506612	0.000368
9304	1.506868	0.000368
6381	1.507048	0.000368
9774	1.506994	0.000368
9576	1.507090	0.000368
8043	1.506924	0.000368
7902	1.507725	0.000368
9937	1.507678	0.000368
5495	1.507271	0.000368
9899	1.506341	0.000368
6481	1.507181	0.000368
7993	1.507188	0.000368
5854	1.506593	0.000368
6935	1.507520	0.000368
8080	1.507155	0.000368
9888	1.507416	0.000368
8817	1.507463	0.000368
6946	1.506673	0.000368
9778	1.506699	0.000368
7601	1.506470	0.000368
5581	1.506910	0.000368
5652	1.507350	0.000368
9434	1.507124	0.000368
5110	1.507128	0.000368
9676	1.506608	0.000368
9344	1.506985	0.000368
6088	1.506869	0.000368
7985	1.506707	0.000368
6950	1.507460	0.000368
6347	1.507261	0.000368
8672	1.507227	0.000368
9478	1.507013	0.000368
7571	1.507409	0.000368
8129	1.507186	0.000368
6312	1.506271	0.000368
8628	1.507428	0.000368
8933	1.507146	0.000368
5700	1.507626	0.000368
7816	1.507249	0.000368
9074	1.506564	0.000368
7181	1.507225	0.000368
7416	1.507063	0.000368
7431	1.507347	0.000368
6102	1.507199	0.000368
6174	1.506831	0.000368
8409	1.506276	0.000368
5606	1.507209	0.000368
6471	1.507320	0.000368
6018	1.507035	0.000368
9559	1.507116	0.000368
5914	1.507207	0.000368
9311	1.506420	0.000368
6509	1.506464	0.000368
7850	1.507129	0.000368
5891	1.506784	0.000368
9856	1.507625	0.000368
6905	1.507140	0.000368
8455	1.506567	0.000368
9359	1.506842	0.000368
9924	1.506420	0.000368
7114	1.507160	0.000368
9654	1.506840	0.000368
7832	1.507116	0.000368
7367	1.507055	0.000368
6124	1.507284	0.000368
9503	1.506352	0.000368
9190	1.506782	0.000368
6973	1.507659	0.000368
9174	1.506896	0.000368
9828	1.506969	0.000368
6813	1.507664	0.000368
6604	1.507203	0.000368
8269	1.507432	0.000368
8712	1.507010	0.000368
6448	1.506528	0.000368
6050	1.506955	0.000368
6332	1.507044	0.000368
9917	1.506700	0.000368
5628	1.507247	0.000368
8899	1.506931	0.000368
8857	1.506987	0.000368
